|Concept|Class
9316|Glucose_test|http://dbpedia.org/resource/Category:Blood_tests
9317|Human_body|http://dbpedia.org/resource/Category:Human_body
9318|Human_body|http://dbpedia.org/resource/Category:Human_physiology
9319|Human_body|http://dbpedia.org/resource/Category:Human_anatomy
9320|Teaspoon|http://dbpedia.org/resource/Category:Spoons
9321|Teaspoon|http://dbpedia.org/resource/Category:Cooking_weights_and_measures
9322|Teaspoon|http://dbpedia.org/resource/Category:Teaware
9323|Teaspoon|http://dbpedia.org/resource/Category:Customary_units_of_measurement_in_the_United_States
9324|Teaspoon|http://dbpedia.org/resource/Category:Imperial_units
9325|Teaspoon|http://dbpedia.org/resource/Category:Units_of_volume
9326|Teaspoon|http://dbpedia.org/resource/Category:Alcohol_measurement
9327|Teaspoon|http://dbpedia.org/resource/Category:Metricated_units
9328|Glycated_hemoglobin|http://dbpedia.org/resource/Category:Glucose
9329|Glycated_hemoglobin|http://dbpedia.org/resource/Category:Diabetes-related_tests
9330|Glycated_hemoglobin|http://dbpedia.org/resource/Category:Hemoglobins
9331|Glycated_hemoglobin|http://dbpedia.org/resource/Category:Blood_tests
9332|Glycated_hemoglobin|http://dbpedia.org/resource/Category:Diabetes
9333|Glycated_hemoglobin|http://dbpedia.org/resource/Category:Medical_tests
9334|Hyperglycemia|http://dbpedia.org/resource/Category:Disorders_of_endocrine_pancreas
9335|Hyperglycemia|http://dbpedia.org/resource/Category:Abnormal_clinical_and_laboratory_findings_for_blood
9336|Hyperglycemia|http://dbpedia.org/resource/Category:Disorders_causing_seizures
9337|Angina|http://dbpedia.org/resource/Category:Ischemic_heart_diseases
9338|Angina|http://dbpedia.org/resource/Category:Acute_pain
9339|Cardiac_arrest|http://dbpedia.org/resource/Category:Wikipedia_medicine_articles_ready_to_translate
9340|Cardiac_arrest|http://dbpedia.org/resource/Category:Cardiac_arrhythmia
9341|Cardiac_arrest|http://dbpedia.org/resource/Category:Medical_emergencies
9342|Cardiac_arrest|http://dbpedia.org/resource/Category:Wikipedia_emergency_medicine_articles_ready_to_translate
9343|Cardiac_arrest|http://dbpedia.org/resource/Category:Causes_of_death
9344|Cardiovascular_disease|http://dbpedia.org/resource/Category:Aging-associated_diseases
9345|Cardiovascular_disease|http://dbpedia.org/resource/Category:Wikipedia_medicine_articles_ready_to_translate
9346|Cardiovascular_disease|http://dbpedia.org/resource/Category:Wikipedia_emergency_medicine_articles_ready_to_translate
9347|Cardiovascular_disease|http://dbpedia.org/resource/Category:Cardiovascular_diseases
9348|Coronary_artery_disease|http://dbpedia.org/resource/Category:Ischemic_heart_diseases
9349|Coronary_artery_disease|http://dbpedia.org/resource/Category:Aging-associated_diseases
9350|Coronary_artery_disease|http://dbpedia.org/resource/Category:Wikipedia_medicine_articles_ready_to_translate
9351|Coronary_artery_disease|http://dbpedia.org/resource/Category:Wikipedia_emergency_medicine_articles_ready_to_translate
9352|Coronary_artery_disease|http://dbpedia.org/resource/Category:Heart_diseases
9353|Heart_failure|http://dbpedia.org/resource/Category:Disorders_causing_edema
9354|Heart_failure|http://dbpedia.org/resource/Category:Organ_failure
9355|Heart_failure|http://dbpedia.org/resource/Category:Aging-associated_diseases
9356|Heart_failure|http://dbpedia.org/resource/Category:Wikipedia_medicine_articles_ready_to_translate
9357|Heart_failure|http://dbpedia.org/resource/Category:Wikipedia_emergency_medicine_articles_ready_to_translate
9358|Heart_failure|http://dbpedia.org/resource/Category:Heart_diseases
9359|Myocardial_infarction|http://dbpedia.org/resource/Category:Articles_containing_video_clips
9360|Myocardial_infarction|http://dbpedia.org/resource/Category:Ischemic_heart_diseases
9361|Myocardial_infarction|http://dbpedia.org/resource/Category:Aging-associated_diseases
9362|Myocardial_infarction|http://dbpedia.org/resource/Category:Wikipedia_medicine_articles_ready_to_translate
9363|Myocardial_infarction|http://dbpedia.org/resource/Category:Acute_pain
9364|Myocardial_infarction|http://dbpedia.org/resource/Category:Medical_emergencies
9365|Myocardial_infarction|http://dbpedia.org/resource/Category:Wikipedia_emergency_medicine_articles_ready_to_translate
9366|Myocardial_infarction|http://dbpedia.org/resource/Category:Causes_of_death
9367|Need|http://dbpedia.org/resource/Category:Motivational_theories
9368|Need|http://dbpedia.org/resource/Category:Psychological_theories
9369|Need|http://dbpedia.org/resource/Category:Consumer
9370|Atherosclerosis|http://dbpedia.org/resource/Category:Inflammations
9371|Atherosclerosis|http://dbpedia.org/resource/Category:Vascular_diseases
9372|Atherosclerosis|http://dbpedia.org/resource/Category:Wikipedia_medicine_articles_ready_to_translate
9373|Atherosclerosis|http://dbpedia.org/resource/Category:Medical_conditions_related_to_obesity
9374|Atherosclerosis|http://dbpedia.org/resource/Category:Diseases_of_arteries,_arterioles_and_capillaries
9375|Bone_fracture|http://dbpedia.org/resource/Category:Acute_pain
9376|Bone_fracture|http://dbpedia.org/resource/Category:Bone_fractures
9377|Embolism|http://dbpedia.org/resource/Category:Hematology
9378|Embolism|http://dbpedia.org/resource/Category:Diseases_of_arteries,_arterioles_and_capillaries
9379|Embolus|http://dbpedia.org/resource/Category:Hematology
9380|Hemodynamics|http://dbpedia.org/resource/Category:Exercise_physiology
9381|Hemodynamics|http://dbpedia.org/resource/Category:Mathematics_in_medicine
9382|Hemodynamics|http://dbpedia.org/resource/Category:Computational_fluid_dynamics
9383|Hemodynamics|http://dbpedia.org/resource/Category:Fluid_dynamics
9384|Hemodynamics|http://dbpedia.org/resource/Category:Blood
9385|Hemodynamics|http://dbpedia.org/resource/Category:Cardiovascular_physiology
9386|Hemodynamics|http://dbpedia.org/resource/Category:Fluid_mechanics
9387|Medicine|http://dbpedia.org/resource/Category:Medicine
9388|Necrosis|http://dbpedia.org/resource/Category:Cellular_processes
9389|Necrosis|http://dbpedia.org/resource/Category:Necrosis
9390|Necrosis|http://dbpedia.org/resource/Category:Cell_death
9391|Thrombosis|http://dbpedia.org/resource/Category:Hematology
9392|Thrombus|http://dbpedia.org/resource/Category:Ischemia
9393|Thrombus|http://dbpedia.org/resource/Category:Hematology
9394|Tissue_(biology)|http://dbpedia.org/resource/Category:Anatomy
9395|Tissue_(biology)|http://dbpedia.org/resource/Category:Tissues_(biology)
