Epochs|Learning rate|Layers|Channels|Validation AUC|Validation Precision|Validation Accuracy|Validation F1|Test AUC|Test Precision|Test Accuracy|Test F1|Loss|Duration
150|0.01|6|16|0.4120190041055505|0.46304163126593034|0.43812233285917496|0.3660738745320062|0.41688131944177464|0.45879354290569246|0.4310099573257468|0.3580494931969683|1.2161279878972096|38.99131917953491
200|0.01|6|16|0.48145926116278737|0.49883086515978176|0.49786628733997157|0.3948950157153342|0.4993181022603797|0.49334377447141736|0.4879089615931721|0.3854895104895104|1.1248983369750931|51.83109664916992
50|0.1|1|16|0.43025926278153576|0.4571183533447684|0.42887624466571833|0.35941041732979967|0.4265159072376261|0.45567522783761394|0.4238975817923186|0.3389558978883459|24.146202260651876|1.6602668762207031
100|0.1|1|16|0.5059519353148162|0.4772539288668321|0.46088193456614507|0.38066713156671317|0.48707834134951|0.4709784411276949|0.45021337126600286|0.3695202592835592|24.767826482890072|3.3279895782470703
150|0.1|1|16|0.4480290727202459|0.47416413373860183|0.4516358463726885|0.32293526754345697|0.43809198132773786|0.47754491017964074|0.457325746799431|0.31936678495089604|0.6607959270368156|5.009578466415405
200|0.1|1|16|0.4769237306483694|0.4583333333333333|0.48577524893314367|0.4232300519669305|0.4912010910363833|0.4752851711026616|0.4907539118065434|0.4354667581856804|8.697641417373518|6.673564434051514
50|0.1|2|16|0.4126432339354402|0.4790468364831553|0.46372688477951635|0.38100009342301944|0.4376063568247442|0.47493837304847986|0.4566145092460882|0.3727905455904335|199.01568877694285|3.3846275806427
100|0.1|2|16|0.48806274268578675|0.5126582278481012|0.5170697012802276|0.5019467229685138|0.47190358734867227|0.5077720207253886|0.5106685633001422|0.49306568731029154|194.85809236764908|6.754495859146118
150|0.1|2|16|0.5221940515045254|0.4740740740740741|0.4800853485064011|0.4730024145411885|0.529860848345538|0.4816849816849817|0.48577524893314367|0.47928246628012583|331.2963808863228|10.472958326339722
200|0.1|2|16|0.40443415639941804|0.4607679465776294|0.43314366998577525|0.3529420935656374|0.4123639998462189|0.4636363636363636|0.43741109530583216|0.35332340574733967|24.090759745798977|13.813931703567505
50|0.1|4|16|0.4294235839493008|0.4746887966804979|0.4566145092460882|0.37722398471271407|0.4460511645882613|0.4731182795698925|0.45376955903271693|0.3724965132496513|20034.065974094934|8.506377458572388
100|0.1|4|16|0.4841898872744122|0.4899328859060403|0.4850640113798009|0.4530817155911448|0.4805294925830974|0.48615090735434574|0.4793741109530583|0.44622437449556096|2723.858958049357|16.791922569274902
150|0.1|4|16|0.47155757989028935|0.4980582524271845|0.4971550497866287|0.4684003001218777|0.4900457094063443|0.504|0.5056899004267426|0.4826029703059419|2202.768444106914|25.007646322250366
200|0.1|4|16|0.4651291255319106|0.457286432160804|0.4274537695590327|0.3479321678462687|0.46995704246583936|0.45675902602854745|0.4267425320056899|0.34822498751935366|5406.728938530388|33.43397879600525
50|0.1|6|16|0.41378040464661714|0.5092449922958397|0.5170697012802276|0.4117158436811187|0.4146626224937223|0.5027195027195027|0.5049786628733998|0.4017679639071269|14288.345625392612|13.347782611846924
100|0.1|6|16|0.3380108415670294|0.45563139931740615|0.4260312944523471|0.35417033084311633|0.353828036316619|0.45346869712351945|0.4217638691322902|0.34583880576515325|1367626.9515606165|26.982916593551636
150|0.1|6|16|0.4424787893381141|0.4846066134549601|0.48079658605974396|0.47272110800591816|0.45225602933172004|0.4855824682814302|0.4822190611664296|0.47507718186200604|6641436.899046251|40.03013801574707
200|0.1|6|16|0.47315204700845187|0.5083969465648855|0.515647226173542|0.4046917812690603|0.48752855573249376|0.5034642032332564|0.5064011379800853|0.39827826494493157|497197.3054894209|53.18333601951599
50|0.001|1|32|0.43692850595598215|0.45393258426966293|0.441678520625889|0.4316243079469398|0.4503803046889069|0.4737991266375546|0.46586059743954483|0.45331398361970454|5.481579737650463|2.0039284229278564
100|0.001|1|32|0.4102616504353422|0.4504896626768226|0.4352773826458037|0.4216269985182729|0.40574534255750094|0.44625407166123776|0.4295874822190612|0.4155367301919026|5.547573306132108|4.0162272453308105
150|0.001|1|32|0.42911804519950064|0.420863309352518|0.43741109530583216|0.43119341130211475|0.4573409225651496|0.48863636363636365|0.4914651493598862|0.48346299553337224|5.164403746348398|5.984095573425293
200|0.001|1|32|0.4283228350758485|0.46070460704607047|0.45874822190611664|0.45841261260440436|0.43516002339091353|0.4596354166666667|0.45590327169274536|0.45473790828500904|4.849987442867132|7.9776084423065186
50|0.001|2|32|0.44959723517782957|0.4597602739726027|0.43314366998577525|0.36352663933145934|0.47477079535176414|0.4564846416382253|0.4274537695590327|0.3557709000355746|4.776496505655814|4.258748769760132
100|0.001|2|32|0.4035296807625923|0.46029035012809566|0.43385490753911804|0.36331302778681684|0.4248506198794437|0.45794392523364486|0.4295874822190612|0.35644461692996077|5.318116553979053|8.377430200576782
150|0.001|2|32|0.40926004989791764|0.4602224123182207|0.43385490753911804|0.36398890707401343|0.42286967659431535|0.45787234042553193|0.4295874822190612|0.357138784939101|5.545085893449141|12.599772453308105
200|0.001|2|32|0.43854523086386527|0.4602224123182207|0.43385490753911804|0.36398890707401343|0.466100374537898|0.45787234042553193|0.4295874822190612|0.357138784939101|5.3778060276927135|16.707696676254272
50|0.001|4|32|0.404347148675965|0.46304163126593034|0.43812233285917496|0.3660738745320062|0.4339014465539883|0.46016949152542375|0.43314366998577525|0.3594137564189705|5.034461514378933|10.232559442520142
100|0.001|4|32|0.41075536868005236|0.46486028789161726|0.44096728307254623|0.36790989457500556|0.4234220744664707|0.46283783783783783|0.43741109530583216|0.3628404875463699|4.7568842298896925|20.61247992515564
150|0.001|4|32|0.4068440679955241|0.4598290598290598|0.43314366998577525|0.3628520759381537|0.43325597065209254|0.45826235093696766|0.43029871977240397|0.3582853512403169|5.13020986243545|30.685041904449463
200|0.001|4|32|0.41196335963124914|0.46029035012809566|0.43385490753911804|0.36331302778681684|0.4280506830106291|0.45879354290569246|0.4310099573257468|0.3580494931969683|4.985814092469205|40.85854148864746
50|0.001|6|32|0.40443719155256175|0.46486028789161726|0.44096728307254623|0.36790989457500556|0.43321145507265146|0.46244725738396625|0.4366998577524893|0.36168280871670705|5.390950690301178|16.322144269943237
100|0.001|6|32|0.4174185415482114|0.46029035012809566|0.43385490753911804|0.36331302778681684|0.43535022632125275|0.45826235093696766|0.43029871977240397|0.3582853512403169|5.2845987597848065|32.71533274650574
150|0.001|6|32|0.3897419917484303|0.46029035012809566|0.43385490753911804|0.36331302778681684|0.4078618560163817|0.4583333333333333|0.43029871977240397|0.35759425979133047|5.3006384839017535|48.99516773223877
