Model|Accuracy|Params|Embedding
RBF|0.7507002801120448|(100, 0.001, 'rbf')|FastText
RF|0.5630252100840336|(0, 1, 50, 'gini')|FastText
RF|0.5630252100840336|(0, 1, 50, 'entropy')|FastText
RF|0.5630252100840336|(0, 1, 50, 'log_loss')|FastText
RF|0.5630252100840336|(0, 1, 100, 'gini')|FastText
RF|0.5630252100840336|(0, 1, 100, 'entropy')|FastText
RF|0.5630252100840336|(0, 1, 100, 'log_loss')|FastText
RF|0.5630252100840336|(0, 1, 150, 'gini')|FastText
RF|0.5630252100840336|(0, 1, 150, 'entropy')|FastText
RF|0.5630252100840336|(0, 1, 150, 'log_loss')|FastText
RF|0.5630252100840336|(0, 1, 200, 'gini')|FastText
RF|0.5630252100840336|(0, 1, 200, 'entropy')|FastText
RF|0.5630252100840336|(0, 1, 200, 'log_loss')|FastText
RF|0.6330532212885154|(0, 2, 50, 'gini')|FastText
RF|0.6274509803921569|(0, 2, 50, 'entropy')|FastText
RF|0.6274509803921569|(0, 2, 50, 'log_loss')|FastText
RF|0.6358543417366946|(0, 2, 100, 'gini')|FastText
RF|0.6274509803921569|(0, 2, 100, 'entropy')|FastText
RF|0.6274509803921569|(0, 2, 100, 'log_loss')|FastText
RF|0.6302521008403361|(0, 2, 150, 'gini')|FastText
RF|0.6358543417366946|(0, 2, 150, 'entropy')|FastText
RF|0.6358543417366946|(0, 2, 150, 'log_loss')|FastText
RF|0.6218487394957983|(0, 2, 200, 'gini')|FastText
RF|0.6246498599439776|(0, 2, 200, 'entropy')|FastText
RF|0.6246498599439776|(0, 2, 200, 'log_loss')|FastText
RF|0.7338935574229691|(0, 5, 50, 'gini')|FastText
RF|0.7338935574229691|(0, 5, 50, 'entropy')|FastText
RF|0.7338935574229691|(0, 5, 50, 'log_loss')|FastText
RF|0.7478991596638656|(0, 5, 100, 'gini')|FastText
RF|0.7310924369747899|(0, 5, 100, 'entropy')|FastText
RF|0.7310924369747899|(0, 5, 100, 'log_loss')|FastText
RF|0.742296918767507|(0, 5, 150, 'gini')|FastText
RF|0.7563025210084033|(0, 5, 150, 'entropy')|FastText
RF|0.7563025210084033|(0, 5, 150, 'log_loss')|FastText
RF|0.7366946778711485|(0, 5, 200, 'gini')|FastText
RF|0.7507002801120448|(0, 5, 200, 'entropy')|FastText
RF|0.7507002801120448|(0, 5, 200, 'log_loss')|FastText
RF|0.7563025210084033|(0, 10, 50, 'gini')|FastText
RF|0.7058823529411765|(0, 10, 50, 'entropy')|FastText
RF|0.7058823529411765|(0, 10, 50, 'log_loss')|FastText
RF|0.7675070028011205|(0, 10, 100, 'gini')|FastText
RF|0.7226890756302521|(0, 10, 100, 'entropy')|FastText
RF|0.7226890756302521|(0, 10, 100, 'log_loss')|FastText
RF|0.7675070028011205|(0, 10, 150, 'gini')|FastText
RF|0.7282913165266106|(0, 10, 150, 'entropy')|FastText
RF|0.7282913165266106|(0, 10, 150, 'log_loss')|FastText
RF|0.7591036414565826|(0, 10, 200, 'gini')|FastText
RF|0.7394957983193278|(0, 10, 200, 'entropy')|FastText
RF|0.7394957983193278|(0, 10, 200, 'log_loss')|FastText
